번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
4817,동물병원,02_03_01_P,3180000,,2021-06-30,,1,영업/정상,0,정상,,,,,02-831-0075,0,,서울특별시 영등포구 신길동 324-49 영민빌딩 1층,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",7383,다움동물병원,2021-06-30 9:02,I,2021-07-02 0:23,,191647.1628,444844.7641,동물병원,,0,0
4879,동물병원,02_03_01_P,4470000,,2016-04-07,,1,영업/정상,0,정상,,,,,,429,,,"충청북도 음성군 대소면 대금로 822, A단지 나동 104호 (대왕하이텍공구타운A단지)",27663,전동물병원 (출장진료전문병원),2016-04-07 17:45,I,2018-08-31 23:59,,246798.5507,386315.267,동물병원,,0,
4884,동물병원,02_03_01_P,3010000,,1992-02-12,,1,영업/정상,0,정상,,,,,2237-3366,306,,서울특별시 중구 신당동 336-3 명덕빌딩,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",4608,바우미우동물병원,2022-07-05 16:49,U,2022-07-07 2:40,,201064.9637,450779.721,동물병원,,0,0
4885,동물병원,02_03_01_P,3010000,,1995-05-12,,1,영업/정상,0,정상,,,,,2278-0075,0,,서울특별시 중구 묵정동 32-1,서울특별시 중구 퇴계로 254-1 (묵정동),4619,황동물병원,2022-07-05 16:42,U,2022-07-07 2:40,,199930.8583,451121.3448,동물병원,,0,0
4886,동물병원,02_03_01_P,3070000,,2000-08-01,,1,영업/정상,0,정상,,,,,928-5599,0,,서울특별시 성북구 보문동2가 49번지,서울특별시 성북구 보문로 137 (보문동2가),2871,서울종합동물병원,2019-04-24 11:21,U,2019-04-26 2:40,,201537.5976,453866.557,동물병원,,0,
4887,동물병원,02_03_01_P,3070000,,2001-05-07,,1,영업/정상,0,정상,,,,,918-3344,42,,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779,대학동물병원,2021-02-17 9:57,U,2021-02-19 2:40,,205326.1448,456806.4324,동물병원,,0,
4888,동물병원,02_03_01_P,3070000,,2001-04-12,,1,영업/정상,0,정상,,,,,924-4555,0,,서울특별시 성북구 종암동 19-1번지,서울특별시 성북구 종암로 65 (종암동),2810,강북동물병원,2012-01-04 10:43,I,2018-08-31 23:59,,203035.964,454877.3496,동물병원,,0,
4889,동물병원,02_03_01_P,3110000,,2014-05-21,,1,영업/정상,0,정상,,,,,02-969-7582,40.2,,서울특별시 은평구 응암동 194-23,서울특별시 은평구 백련산로 145 (응암동),3463,스머프동물병원,2021-07-19 10:07,U,2021-07-21 2:40,,193315.1172,455100.9551,동물병원,,0,0
4890,동물병원,02_03_01_P,3110000,,2014-09-01,,1,영업/정상,0,정상,,,,,02-356-8353,0,,서울특별시 은평구 불광동 554-1번지 1층,"서울특별시 은평구 불광로 60, 1층 (불광동)",3365,다루동물병원,2019-03-06 10:47,U,2019-03-08 2:40,,193936.1257,456673.8056,동물병원,,0,
4891,동물병원,02_03_01_P,3110000,,2015-01-02,,1,영업/정상,0,정상,,,,,02-388-0275,0,,서울특별시 은평구 역촌동 51-22번지,서울특별시 은평구 역말로 7 (역촌동),3415,도담동물병원,2019-03-06 10:48,U,2019-03-08 2:40,,192084.6798,455936.9704,동물병원,,0,
