개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,Latitude,Longitude,축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원,진료시간,위치정보,홈페이지
3150000,3.15E+17,2020-06-16,,1,영업/정상,0,정상,,,,,02-2235-1533,,,서울특별시 강서구 등촌동 680 한울빌딩,"서울특별시 강서구 강서로62길 10, 한울빌딩 1층 (등촌동)",7583,차지우동물병원,2023-03-01 17:19,U,03:00.0,,37.5628984,126.840429,,,,,,"월-금
10:00 - 17:00
13:00 - 14:00 휴게시간
토
10:00 - 13:00
일
정기휴무 (매주 일요일)",,
3150000,3.15E+17,2002-12-05,,1,영업/정상,0,정상,,,,,3665-5982,0,,서울특별시 강서구 내발산동 655-12,"서울특별시 강서구 강서로 333, 104호 105호 (내발산동)",7632,박동물병원,2023-02-28 17:53,U,03:00.0,,37.5554718,126.8369299,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,1993-07-02,,1,영업/정상,0,정상,,,,,02-414-0075,0,,서울특별시 송파구 방이동 124-8 남양빌딩,"서울특별시 송파구 오금로 203, 남양빌딩 (방이동)",5643,페토피아종합동물병원,2023-02-28 15:01,U,03:00.0,,37.50814,127.1166612,,,,,,,,
3130000,3.13E+17,2024-05-31,,1,영업/정상,0,정상,,,,,,0,,서울특별시 마포구 상암동 27-61,서울특별시 마포구 월드컵북로 308 (상암동),3930,상암 진 동물의료센터,2024-05-31 11:25,I,02:00.0,,37.5745873,126.8971771,,,,,,,,
3240000,3.24E+17,2023-03-07,,1,영업/정상,0,정상,,,,,02-3427-6419,,,서울특별시 강동구 고덕동 191-3,"서울특별시 강동구 고덕로83길 32, 2층 (고덕동)",5222,피카소동물병원,2023-03-07 10:38,I,09:00.0,,37.5602761,127.1681898,,,,,,"월
09:30 - 20:00
화
09:30 - 20:00
수
09:30 - 20:00
목
09:30 - 20:00
금
09:30 - 20:00
토
09:30 - 20:00
일
정기휴무 (매주 일요일)",,
3110000,3.11E+17,2023-09-27,,1,영업/정상,0,정상,,,,,02-358-1591,,,서울특별시 은평구 갈현동 431-5,"서울특별시 은평구 연서로29길 24, 2층 (갈현동)",3330,도그원동물의료센터,2023-09-27 17:41,I,09:00.0,,37.6196405,126.9177319,,,,,,"월
10:00 - 20:00
14:00 - 15:00 휴게시간
19:30 접수마감
화
10:00 - 20:00
14:00 - 15:00 휴게시간
19:30 접수마감
수
10:00 - 20:00
14:00 - 15:00 휴게시간
19:30 접수마감
목
10:00 - 20:00
14:00 - 15:00 휴게시간
19:30 접수마감
금
10:00 - 20:00
14:00 - 15:00 휴게시간
19:30 접수마감
토
10:00 - 20:00
14:00 - 15:00 휴게시간
19:30 접수마감
일
정기휴무 (매주 일요일)",,
3180000,3.18E+17,2001-06-15,,1,영업/정상,0,정상,,,,,849-6509,82.5,,서울특별시 영등포구 신길동 232-15,서울특별시 영등포구 신길로 168 (신길동),7362,우신종합동물병원,2024-05-13 19:38,U,05:00.0,,37.5072076,126.9112295,,,,,,"매일
10:00 - 20:00
13:00 - 14:00 휴게시간",,
3150000,3.15E+17,2024-01-23,,1,영업/정상,0,정상,,,,,02-2065-7585,67.28,,서울특별시 강서구 화곡동 1165-1 강서힐스테이트 상가동 219호,"서울특별시 강서구 강서로 242, 상가동 219호 (화곡동, 강서힐스테이트)",7694,강서 더힐 동물병원,2024-01-23 14:46,I,05:00.0,,37.5471979,126.8368101,,,,,,"월
09:30 - 19:30
12:00 - 13:30 휴게시간
화
09:30 - 19:30
12:00 - 13:30 휴게시간
수
09:30 - 19:30
12:00 - 13:30 휴게시간
목
09:30 - 19:30
12:00 - 13:30 휴게시간
금
09:30 - 19:30
12:00 - 13:30 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
- 공휴일과 일요일은 예약진료로 진행됩니다",,
3160000,3.16E+17,2020-05-15,,1,영업/정상,0,정상,,,,,02-2636-7645,0,,서울특별시 구로구 구로동 631-23 서울반려동물교육센터,"서울특별시 구로구 경인로 472, 서울반려동물교육센터 (구로동)",8278,서울동물복지지원센터 동물병원(구로),2024-01-16 17:30,U,08:00.0,,37.4979302,126.8710134,,,,,,,,
3020000,3.02E+17,2023-03-16,,1,영업/정상,0,정상,,,,,,102.53,,서울특별시 용산구 한강로3가 98,"서울특별시 용산구 서빙고로 17, 헤링턴스퀘어 센트럴파크 몰동 1146, 1147호 (한강로3가)",4387,에스동물병원,2023-03-16 18:43,I,08:00.0,,37.5276547,126.9622041,,,,,,"월
10:00 - 20:00
13:00 - 14:00 휴게시간
화
10:00 - 20:00
13:00 - 14:00 휴게시간
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간
금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)",,
